@relation letter-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N16-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
36.373067,22.51666,6.928203,32.908965,-46.765372,20.78461,-22.51666,12.124356,-10.392305,-38.105118,10.392305,-5.196152,15.588457,39.837169,-36.373067,6.928203,Z
13.856406,5.196152,19.052559,31.176915,-25.980762,19.052559,-24.248711,5.196152,-13.856406,-22.51666,-5.196152,-8.660254,20.78461,34.641016,-46.765372,1.732051,J
19.052559,3.464102,17.320508,25.980762,-25.980762,19.052559,-29.444864,5.196152,-19.052559,-31.176915,1.732051,-10.392305,12.124356,29.444864,-43.30127,1.732051,F
45.033321,8.660254,20.78461,32.908965,-53.693575,12.124356,-24.248711,13.856406,-19.052559,-50.229473,13.856406,-29.444864,15.588457,29.444864,-24.248711,10.392305,D
29.444864,12.124356,15.588457,34.641016,-32.908965,20.78461,-27.712813,6.928203,-15.588457,-31.176915,0,-5.196152,20.78461,31.176915,-43.30127,3.464102,S
39.837169,25.980762,13.856406,31.176915,-50.229473,27.712813,-34.641016,13.856406,-29.444864,-55.425626,5.196152,-13.856406,19.052559,41.569219,-43.30127,5.196152,T
41.569219,8.660254,24.248711,36.373067,-51.961524,12.124356,-20.78461,12.124356,-12.124356,-48.497423,15.588457,-25.980762,12.124356,32.908965,-27.712813,8.660254,O
32.908965,13.856406,12.124356,31.176915,-36.373067,12.124356,-17.320508,6.928203,-5.196152,-31.176915,6.928203,-5.196152,15.588457,31.176915,-32.908965,5.196152,Z
51.961524,13.856406,19.052559,36.373067,-50.229473,3.464102,-19.052559,12.124356,-5.196152,-43.30127,12.124356,-17.320508,13.856406,36.373067,-32.908965,5.196152,B
24.248711,1.732051,19.052559,25.980762,-22.51666,12.124356,-24.248711,5.196152,-17.320508,-31.176915,5.196152,-10.392305,10.392305,22.51666,-38.105118,3.464102,F
41.569219,17.320508,39.837169,43.30127,-58.889727,25.980762,-32.908965,12.124356,-39.837169,-51.961524,5.196152,-29.444864,20.78461,24.248711,-20.78461,19.052559,M
15.588457,8.660254,19.052559,34.641016,-32.908965,13.856406,-17.320508,6.928203,-3.464102,-41.569219,22.51666,-8.660254,8.660254,38.105118,-36.373067,1.732051,T
36.373067,19.052559,27.712813,32.908965,-46.765372,8.660254,-20.78461,10.392305,-17.320508,-48.497423,10.392305,-19.052559,17.320508,41.569219,-32.908965,5.196152,O
24.248711,6.928203,27.712813,41.569219,-32.908965,-1.732051,-15.588457,5.196152,-3.464102,-29.444864,6.928203,-10.392305,12.124356,36.373067,-39.837169,3.464102,K
22.51666,12.124356,13.856406,32.908965,-27.712813,15.588457,-24.248711,5.196152,-12.124356,-27.712813,-1.732051,-1.732051,15.588457,31.176915,-45.033321,1.732051,Z
19.052559,3.464102,17.320508,22.51666,-22.51666,12.124356,-27.712813,5.196152,-20.78461,-34.641016,6.928203,-10.392305,12.124356,32.908965,-45.033321,1.732051,T
31.176915,15.588457,41.569219,39.837169,-55.425626,3.464102,-22.51666,13.856406,-22.51666,-62.353829,20.78461,-29.444864,15.588457,39.837169,-32.908965,10.392305,W
22.51666,10.392305,24.248711,32.908965,-27.712813,6.928203,-17.320508,5.196152,-10.392305,-25.980762,0,-6.928203,17.320508,24.248711,-29.444864,3.464102,A
29.444864,1.732051,32.908965,38.105118,-29.444864,1.732051,-13.856406,5.196152,0,-24.248711,10.392305,-10.392305,19.052559,32.908965,-36.373067,3.464102,Q
65.817931,32.908965,31.176915,36.373067,-62.353829,29.444864,-32.908965,24.248711,-27.712813,-58.889727,15.588457,-13.856406,19.052559,36.373067,-39.837169,10.392305,Z
41.569219,17.320508,31.176915,32.908965,-39.837169,15.588457,-24.248711,12.124356,-19.052559,-39.837169,15.588457,-8.660254,20.78461,32.908965,-34.641016,8.660254,H
41.569219,22.51666,36.373067,38.105118,-50.229473,6.928203,-25.980762,10.392305,-27.712813,-46.765372,8.660254,-15.588457,19.052559,34.641016,-29.444864,13.856406,R
13.856406,5.196152,20.78461,27.712813,-32.908965,5.196152,-12.124356,6.928203,1.732051,-29.444864,6.928203,-13.856406,15.588457,41.569219,-39.837169,0,I
24.248711,5.196152,20.78461,38.105118,-34.641016,19.052559,-22.51666,5.196152,-8.660254,-25.980762,3.464102,-10.392305,13.856406,29.444864,-34.641016,5.196152,R
32.908965,12.124356,34.641016,41.569219,-50.229473,-1.732051,-20.78461,12.124356,-19.052559,-57.157677,19.052559,-27.712813,15.588457,41.569219,-34.641016,8.660254,U
36.373067,-8.660254,27.712813,34.641016,-39.837169,-5.196152,-19.052559,8.660254,-10.392305,-48.497423,6.928203,-34.641016,6.928203,24.248711,-36.373067,5.196152,U
36.373067,15.588457,22.51666,43.30127,-45.033321,13.856406,-27.712813,8.660254,-15.588457,-46.765372,3.464102,-13.856406,12.124356,43.30127,-48.497423,3.464102,C
41.569219,6.928203,24.248711,38.105118,-48.497423,8.660254,-22.51666,12.124356,-13.856406,-46.765372,12.124356,-25.980762,17.320508,34.641016,-32.908965,6.928203,O
45.033321,25.980762,19.052559,39.837169,-53.693575,15.588457,-25.980762,12.124356,-13.856406,-50.229473,8.660254,-10.392305,13.856406,48.497423,-43.30127,5.196152,E
38.105118,17.320508,15.588457,36.373067,-51.961524,32.908965,-31.176915,12.124356,-24.248711,-45.033321,3.464102,-19.052559,22.51666,31.176915,-31.176915,8.660254,D
31.176915,6.928203,24.248711,34.641016,-34.641016,0,-25.980762,8.660254,-22.51666,-45.033321,6.928203,-19.052559,8.660254,32.908965,-41.569219,5.196152,U
24.248711,6.928203,17.320508,34.641016,-32.908965,29.444864,-27.712813,5.196152,-15.588457,-24.248711,-1.732051,-8.660254,22.51666,27.712813,-36.373067,5.196152,R
27.712813,6.928203,20.78461,38.105118,-32.908965,6.928203,-17.320508,5.196152,-3.464102,-27.712813,5.196152,-8.660254,15.588457,32.908965,-38.105118,3.464102,E
43.30127,15.588457,25.980762,45.033321,-53.693575,12.124356,-27.712813,13.856406,-15.588457,-51.961524,8.660254,-19.052559,12.124356,39.837169,-45.033321,6.928203,G
32.908965,19.052559,22.51666,46.765372,-57.157677,39.837169,-31.176915,10.392305,-15.588457,-38.105118,1.732051,-12.124356,25.980762,36.373067,-36.373067,10.392305,B
32.908965,15.588457,31.176915,39.837169,-46.765372,13.856406,-24.248711,12.124356,-15.588457,-43.30127,12.124356,-19.052559,25.980762,43.30127,-34.641016,3.464102,A
13.856406,3.464102,24.248711,32.908965,-20.78461,5.196152,-19.052559,3.464102,-6.928203,-29.444864,6.928203,-3.464102,10.392305,27.712813,-45.033321,1.732051,Y
31.176915,10.392305,32.908965,32.908965,-34.641016,0,-15.588457,10.392305,-8.660254,-34.641016,20.78461,-10.392305,19.052559,39.837169,-36.373067,6.928203,Y
45.033321,6.928203,25.980762,38.105118,-53.693575,8.660254,-22.51666,13.856406,-13.856406,-46.765372,12.124356,-29.444864,19.052559,36.373067,-31.176915,8.660254,O
45.033321,13.856406,27.712813,46.765372,-53.693575,13.856406,-31.176915,12.124356,-19.052559,-46.765372,3.464102,-19.052559,20.78461,43.30127,-48.497423,8.660254,G
32.908965,20.78461,22.51666,36.373067,-48.497423,25.980762,-22.51666,12.124356,-15.588457,-39.837169,6.928203,-12.124356,19.052559,25.980762,-22.51666,8.660254,A
25.980762,3.464102,24.248711,36.373067,-25.980762,3.464102,-27.712813,5.196152,-17.320508,-34.641016,0,-10.392305,10.392305,34.641016,-53.693575,1.732051,C
43.30127,15.588457,32.908965,29.444864,-39.837169,10.392305,-24.248711,12.124356,-22.51666,-38.105118,12.124356,-12.124356,19.052559,29.444864,-31.176915,10.392305,H
43.30127,27.712813,36.373067,34.641016,-57.157677,6.928203,-22.51666,13.856406,-24.248711,-51.961524,13.856406,-17.320508,19.052559,41.569219,-29.444864,13.856406,R
34.641016,10.392305,20.78461,32.908965,-38.105118,13.856406,-24.248711,8.660254,-19.052559,-41.569219,5.196152,-15.588457,13.856406,24.248711,-31.176915,6.928203,J
38.105118,-8.660254,36.373067,36.373067,-39.837169,-8.660254,-19.052559,8.660254,-19.052559,-53.693575,10.392305,-43.30127,8.660254,24.248711,-29.444864,5.196152,M
25.980762,13.856406,31.176915,38.105118,-46.765372,6.928203,-19.052559,12.124356,-8.660254,-53.693575,20.78461,-17.320508,10.392305,39.837169,-38.105118,5.196152,V
20.78461,5.196152,17.320508,36.373067,-29.444864,22.51666,-22.51666,3.464102,-8.660254,-22.51666,1.732051,-6.928203,17.320508,27.712813,-34.641016,3.464102,R
27.712813,8.660254,27.712813,36.373067,-43.30127,3.464102,-20.78461,10.392305,-10.392305,-50.229473,19.052559,-19.052559,13.856406,41.569219,-41.569219,5.196152,T
51.961524,24.248711,25.980762,43.30127,-58.889727,22.51666,-24.248711,15.588457,-15.588457,-50.229473,19.052559,-13.856406,13.856406,31.176915,-25.980762,12.124356,J
25.980762,10.392305,15.588457,34.641016,-31.176915,20.78461,-27.712813,5.196152,-15.588457,-29.444864,-1.732051,-5.196152,20.78461,31.176915,-43.30127,3.464102,S
46.765372,19.052559,41.569219,48.497423,-67.549981,15.588457,-24.248711,15.588457,-20.78461,-57.157677,17.320508,-29.444864,19.052559,38.105118,-25.980762,15.588457,G
19.052559,1.732051,17.320508,31.176915,-27.712813,20.78461,-22.51666,3.464102,-10.392305,-20.78461,-3.464102,-10.392305,22.51666,27.712813,-38.105118,3.464102,D
24.248711,-1.732051,24.248711,36.373067,-20.78461,3.464102,-13.856406,1.732051,0,-15.588457,1.732051,-6.928203,19.052559,27.712813,-38.105118,1.732051,G
50.229473,20.78461,17.320508,36.373067,-57.157677,34.641016,-25.980762,17.320508,-17.320508,-41.569219,12.124356,-15.588457,20.78461,24.248711,-20.78461,12.124356,Z
48.497423,8.660254,12.124356,34.641016,-53.693575,5.196152,-22.51666,13.856406,-13.856406,-51.961524,13.856406,-29.444864,12.124356,34.641016,-29.444864,6.928203,D
13.856406,3.464102,22.51666,31.176915,-22.51666,5.196152,-13.856406,3.464102,-3.464102,-17.320508,0,-6.928203,17.320508,25.980762,-31.176915,1.732051,A
3.464102,-1.732051,20.78461,29.444864,-13.856406,10.392305,-13.856406,0,0,-19.052559,10.392305,-1.732051,8.660254,31.176915,-39.837169,0,T
24.248711,1.732051,25.980762,38.105118,-25.980762,1.732051,-17.320508,1.732051,-3.464102,-24.248711,1.732051,-8.660254,17.320508,32.908965,-41.569219,1.732051,G
10.392305,6.928203,17.320508,36.373067,-22.51666,10.392305,-17.320508,1.732051,-1.732051,-13.856406,-5.196152,0,19.052559,34.641016,-43.30127,0,L
48.497423,13.856406,32.908965,31.176915,-46.765372,5.196152,-25.980762,12.124356,-34.641016,-51.961524,6.928203,-27.712813,15.588457,22.51666,-22.51666,13.856406,W
10.392305,3.464102,17.320508,29.444864,-20.78461,10.392305,-13.856406,3.464102,0,-15.588457,3.464102,-1.732051,15.588457,29.444864,-38.105118,1.732051,I
45.033321,13.856406,46.765372,43.30127,-57.157677,1.732051,-25.980762,12.124356,-34.641016,-55.425626,15.588457,-34.641016,17.320508,32.908965,-22.51666,17.320508,M
31.176915,19.052559,20.78461,41.569219,-46.765372,34.641016,-27.712813,6.928203,-10.392305,-34.641016,-6.928203,-6.928203,25.980762,36.373067,-43.30127,3.464102,Q
34.641016,10.392305,13.856406,32.908965,-29.444864,5.196152,-12.124356,6.928203,1.732051,-24.248711,12.124356,-1.732051,17.320508,29.444864,-31.176915,3.464102,S
50.229473,32.908965,20.78461,45.033321,-62.353829,25.980762,-29.444864,13.856406,-19.052559,-57.157677,5.196152,-10.392305,17.320508,38.105118,-36.373067,8.660254,Q
22.51666,3.464102,32.908965,36.373067,-32.908965,1.732051,-19.052559,6.928203,-10.392305,-53.693575,10.392305,-19.052559,6.928203,22.51666,-39.837169,1.732051,V
46.765372,10.392305,20.78461,39.837169,-60.621778,13.856406,-19.052559,13.856406,-3.464102,-41.569219,17.320508,-24.248711,15.588457,39.837169,-25.980762,10.392305,R
58.889727,25.980762,27.712813,31.176915,-57.157677,20.78461,-27.712813,22.51666,-22.51666,-55.425626,17.320508,-17.320508,15.588457,36.373067,-38.105118,8.660254,Z
43.30127,17.320508,27.712813,41.569219,-53.693575,10.392305,-22.51666,12.124356,-10.392305,-45.033321,12.124356,-15.588457,10.392305,38.105118,-34.641016,8.660254,P
29.444864,13.856406,41.569219,39.837169,-48.497423,8.660254,-31.176915,10.392305,-31.176915,-58.889727,13.856406,-24.248711,5.196152,38.105118,-39.837169,10.392305,W
22.51666,19.052559,12.124356,36.373067,-46.765372,31.176915,-32.908965,12.124356,-19.052559,-45.033321,0,-10.392305,15.588457,38.105118,-48.497423,3.464102,I
22.51666,6.928203,17.320508,27.712813,-34.641016,8.660254,-25.980762,8.660254,-15.588457,-41.569219,8.660254,-13.856406,-3.464102,34.641016,-43.30127,3.464102,F
51.961524,20.78461,25.980762,34.641016,-57.157677,15.588457,-22.51666,17.320508,-17.320508,-45.033321,20.78461,-17.320508,17.320508,36.373067,-25.980762,13.856406,F
24.248711,12.124356,12.124356,36.373067,-45.033321,36.373067,-32.908965,12.124356,-19.052559,-38.105118,-1.732051,-15.588457,24.248711,38.105118,-46.765372,3.464102,J
29.444864,10.392305,27.712813,34.641016,-45.033321,6.928203,-25.980762,12.124356,-17.320508,-58.889727,15.588457,-22.51666,1.732051,36.373067,-43.30127,3.464102,V
48.497423,19.052559,34.641016,38.105118,-51.961524,6.928203,-25.980762,10.392305,-29.444864,-46.765372,12.124356,-20.78461,19.052559,36.373067,-25.980762,15.588457,M
48.497423,15.588457,48.497423,43.30127,-57.157677,-3.464102,-24.248711,13.856406,-29.444864,-71.014083,25.980762,-36.373067,29.444864,50.229473,-34.641016,10.392305,M
34.641016,6.928203,25.980762,31.176915,-41.569219,8.660254,-24.248711,10.392305,-19.052559,-39.837169,5.196152,-22.51666,15.588457,36.373067,-38.105118,6.928203,O
10.392305,1.732051,19.052559,32.908965,-22.51666,24.248711,-29.444864,1.732051,-17.320508,-20.78461,-8.660254,-6.928203,17.320508,31.176915,-48.497423,1.732051,J
39.837169,15.588457,19.052559,43.30127,-39.837169,-10.392305,-19.052559,10.392305,-6.928203,-39.837169,8.660254,-8.660254,6.928203,43.30127,-46.765372,3.464102,E
29.444864,12.124356,29.444864,45.033321,-46.765372,25.980762,-29.444864,8.660254,-27.712813,-50.229473,-1.732051,-25.980762,13.856406,20.78461,-27.712813,6.928203,M
43.30127,22.51666,31.176915,46.765372,-55.425626,12.124356,-34.641016,12.124356,-32.908965,-67.549981,10.392305,-20.78461,3.464102,36.373067,-39.837169,10.392305,K
36.373067,12.124356,15.588457,29.444864,-48.497423,24.248711,-29.444864,10.392305,-19.052559,-43.30127,10.392305,-15.588457,12.124356,29.444864,-29.444864,10.392305,P
34.641016,19.052559,22.51666,38.105118,-51.961524,29.444864,-25.980762,13.856406,-15.588457,-41.569219,5.196152,-15.588457,27.712813,32.908965,-31.176915,6.928203,A
25.980762,6.928203,27.712813,38.105118,-32.908965,3.464102,-20.78461,5.196152,-8.660254,-31.176915,1.732051,-10.392305,13.856406,36.373067,-45.033321,3.464102,G
25.980762,12.124356,25.980762,29.444864,-39.837169,13.856406,-20.78461,6.928203,-15.588457,-48.497423,6.928203,-17.320508,20.78461,31.176915,-34.641016,5.196152,V
24.248711,6.928203,15.588457,29.444864,-24.248711,8.660254,-15.588457,5.196152,-6.928203,-24.248711,6.928203,-5.196152,17.320508,25.980762,-32.908965,3.464102,X
10.392305,0,29.444864,31.176915,-17.320508,6.928203,-15.588457,1.732051,-5.196152,-13.856406,-3.464102,-6.928203,20.78461,27.712813,-38.105118,0,A
46.765372,25.980762,15.588457,45.033321,-55.425626,32.908965,-34.641016,13.856406,-24.248711,-48.497423,3.464102,-10.392305,17.320508,32.908965,-38.105118,8.660254,Z
46.765372,19.052559,29.444864,38.105118,-46.765372,-1.732051,-19.052559,10.392305,-10.392305,-43.30127,10.392305,-10.392305,17.320508,39.837169,-38.105118,8.660254,S
39.837169,17.320508,32.908965,45.033321,-57.157677,31.176915,-34.641016,12.124356,-36.373067,-55.425626,6.928203,-27.712813,25.980762,25.980762,-25.980762,13.856406,M
38.105118,24.248711,6.928203,32.908965,-50.229473,20.78461,-22.51666,13.856406,-10.392305,-41.569219,12.124356,-6.928203,15.588457,41.569219,-36.373067,6.928203,Z
39.837169,-6.928203,36.373067,36.373067,-43.30127,-8.660254,-20.78461,10.392305,-20.78461,-57.157677,10.392305,-45.033321,6.928203,25.980762,-31.176915,5.196152,M
38.105118,19.052559,41.569219,41.569219,-53.693575,10.392305,-27.712813,12.124356,-31.176915,-76.210236,22.51666,-29.444864,17.320508,38.105118,-32.908965,8.660254,W
31.176915,24.248711,13.856406,29.444864,-48.497423,27.712813,-31.176915,13.856406,-25.980762,-53.693575,12.124356,-10.392305,8.660254,34.641016,-36.373067,8.660254,T
