-0.385Source_10-0.376Source_13-0.372Source_5-0.343Source_14+0.314Source_2...,0.771Source_3-0.587Source_1-0.125Source_10-0.115Source_11-0.102Source_2...,'0.818Source_2+0.414Source_10+0.246Source_3-0.144Source_11+0.13 Source_4...',-0.552Source_1+0.463Source_12-0.438Source_11-0.431Source_3+0.168Source_0...,0.789Source_11+0.459Source_12+0.311Source_4-0.149Source_1+0.138Source_0...,0.814Source_4-0.447Source_7-0.282Source_12-0.14Source_10-0.132Source_11...,0.855Source_7+0.316Source_4-0.315Source_12-0.229Source_10+0.063Source_8...,0.555Source_6-0.508Source_12+0.394Source_10+0.268Source_0-0.214Source_1...,0.771Source_6-0.349Source_10-0.225Source_0+0.225Source_12+0.199Source_15...,0.934Source_15+0.227Source_0-0.179Source_6-0.129Source_8-0.103Source_10...,'0.689Source_8+0.67 Source_0-0.131Source_9-0.114Source_10+0.093Source_13...',0.727Source_9+0.536Source_8-0.375Source_0+0.125Source_15+0.106Source_11...,'-0.558Source_14-0.441Source_9-0.404Source_13+0.32 Source_8+0.277Source_10...','0.697Source_14-0.668Source_13-0.164Source_5+0.13 Source_10+0.086Source_4...',-0.876Source_5+0.389Source_13+0.176Source_14-0.145Source_9-0.126Source_0...,'-0.43Source_10+0.42 Source_2-0.401Source_1-0.33Source_3-0.261Source_9...',class
-2.075015,0.42314,0.815729,1.052772,-0.016386,0.01368,-1.950249,1.178761,0.550417,-1.563492,-3.489951,0.076676,1.830107,-1.33189,1.006909,1.102191,V
-0.64414,0.606234,1.78142,-0.876805,-0.794925,-0.689738,-2.042386,2.530972,3.732631,0.011198,-0.632126,0.011077,-0.615076,-1.307565,0.37619,-0.176668,M
-1.185307,-0.628283,-0.231145,-1.276038,1.538299,-0.274782,-0.419668,0.250976,-0.175071,1.273206,-0.760255,0.050195,1.288683,0.53568,1.788313,-0.342893,Y
0.977978,-0.505808,-0.025072,-1.086688,-1.084458,0.442851,-0.525425,-0.022489,-0.123158,-0.553731,-0.396058,-0.092969,0.474279,-0.43149,-0.101066,-0.478377,D
0.502264,0.348706,0.433547,0.202943,0.089204,-0.284201,-0.620494,-0.669096,0.498791,0.109189,-0.413386,0.497576,1.179692,-1.88618,-1.197105,-0.294005,E
0.203765,-0.593559,1.750962,-1.720848,-2.665505,0.34304,-0.715852,-0.27932,-0.251672,-1.632758,0.596265,-0.482724,0.413914,0.700344,0.512244,0.170259,N
1.198543,-0.361332,-0.45609,0.683137,-2.548438,0.409453,0.478056,-0.646851,-0.244106,1.183771,1.229325,-1.067108,-1.584464,0.8415,0.453709,1.12585,A
0.111301,0.019449,-0.684454,-0.925869,0.410124,0.107699,-1.299599,-0.145426,0.295573,-0.868135,0.087649,0.584757,1.510848,0.162632,0.470154,-0.438796,D
0.417599,1.394794,-1.456889,-0.157646,-0.995488,-0.740971,1.992744,1.177915,0.111053,0.09501,0.868981,-0.027585,-0.243273,1.661534,-1.192496,0.581222,Z
1.144215,-1.038054,1.144955,-0.238369,0.800961,-0.300884,0.268915,0.291147,0.47067,-0.105434,1.119613,-0.237758,-0.800359,-0.716527,0.809674,0.076001,N
0.433404,-0.144379,-0.125531,0.723612,-0.972707,0.297399,0.845684,-0.68313,-0.155451,1.766078,1.843644,-0.568265,-0.597168,0.212142,-0.990412,0.290376,X
-0.198396,-1.818419,1.54229,-0.267691,-0.797047,-0.380915,0.195892,1.821798,0.487548,1.285689,-0.912411,-1.151583,1.221085,-0.412688,-0.291477,-0.328721,F
-1.181057,0.060243,1.924569,1.206817,-0.564867,-2.058426,0.885936,-2.119204,0.866019,-0.9717,0.901915,0.400539,-0.100345,2.502904,0.807879,0.269014,N
-0.212307,-1.997412,-1.031626,3.903246,-1.748715,-0.258225,-3.694258,-1.006578,-2.766218,1.465198,1.626347,0.357187,1.126499,-0.366083,2.662219,-0.815198,L
0.379575,-0.824055,1.092936,-0.740145,-0.328266,-0.075395,-0.194184,0.011645,-0.533221,-0.625636,0.822148,-0.950896,0.112719,-0.615135,1.10613,0.19524,N
1.699065,-0.607519,-0.246678,-1.588548,0.012726,-1.45683,0.732829,0.086268,-0.656368,-0.121856,0.254993,-0.055377,0.054469,-0.522558,-0.442091,-0.62976,Z
-0.441579,-1.265964,-1.965588,-1.13571,0.901645,0.568435,0.459244,-0.224423,1.008467,1.118196,-0.270782,-1.361618,1.584109,1.81224,0.917556,1.352754,Y
0.171383,0.286202,0.141094,-0.026765,0.220643,0.256058,-0.563569,-0.398426,0.495347,-0.279111,-0.683147,0.158102,0.187,0.5652,1.097736,-2.743223,I
-2.849841,-2.140228,2.889687,0.67436,-0.518792,-0.789382,0.243317,1.555282,0.562247,-0.104421,-1.153352,-0.60705,1.507532,0.331163,0.966673,-0.023061,W
0.121522,0.628756,1.016764,-0.261479,1.370511,-0.385053,-0.658676,-0.178903,-0.117492,-1.283999,-0.40788,-0.333235,0.345663,0.159843,0.258609,-1.391846,U
-1.841812,-1.317833,-0.160865,-0.144574,-0.897652,-0.365975,1.680917,-1.665052,0.791593,-1.237553,1.071484,-0.121636,0.087606,0.657404,-0.594012,-0.434249,O
0.243204,-0.687469,0.913606,-1.507851,0.54549,0.493346,0.32357,0.70204,-0.796727,-0.16636,0.009176,0.834707,1.429164,0.715979,1.161914,-0.439728,T
0.671685,0.206472,-1.322781,-0.409144,0.14213,-0.632158,-0.546539,1.053271,0.053152,-0.141183,-0.133205,-0.204922,-0.363675,0.682877,0.858302,0.793893,O
-1.276476,0.574961,1.277573,0.999047,-1.813097,1.777407,-0.330153,3.199277,-0.806404,0.639937,-1.56652,-0.916398,0.990949,-0.324468,-0.026946,-1.218172,P
0.156637,-1.553083,0.157329,-0.404608,1.502118,-0.475847,0.758813,0.56218,-0.092325,-0.294656,-1.173375,0.772339,-0.66125,-0.013236,0.212454,-1.46592,C
0.813081,-1.782169,-0.1302,0.837135,0.360115,-0.081582,0.865567,-0.560552,-0.757333,0.137775,-1.246735,-0.627347,-0.266924,-0.137033,-1.225175,0.017912,G
0.153365,-0.152717,-0.161533,0.878042,-0.647654,0.202349,0.677979,1.181103,1.280798,-0.358476,-1.451849,-0.668112,1.949101,-0.959172,-0.835382,0.288829,B
0.27354,-0.124836,0.043184,0.882505,0.622832,-1.847592,0.219672,-0.271929,0.093616,-0.592536,-0.572613,0.245858,-0.195655,-0.577808,0.238685,-0.550799,K
-2.112025,-1.65752,1.196411,0.201242,1.505762,-0.598144,0.58591,0.841618,-0.34707,-0.411347,0.745407,-0.862767,-0.5096,-0.845775,1.486067,0.502501,W
1.364737,2.509872,1.483335,0.034441,0.876234,0.578759,0.290118,-1.172839,0.858413,0.74342,0.282398,-0.53536,1.169099,1.373547,-0.472632,-0.000187,V
0.345428,0.540804,2.69294,0.694175,-0.137571,-0.137642,0.694273,0.182264,0.835791,-0.716172,-0.505801,-0.431569,0.672047,0.447727,1.027035,0.257524,W
0.08764,0.224812,-0.489804,1.234658,-0.356867,-0.31215,-0.398329,0.388913,1.3453,0.246562,0.814456,0.743912,0.11137,-2.160846,-0.973439,0.683583,H
-1.238091,0.470589,-0.086592,-1.600314,-0.10997,-1.432267,-0.527673,-0.452809,-0.576041,0.686583,-0.433623,1.263245,0.843317,-0.263659,-1.487161,-1.206287,Z
0.5887,-0.66435,0.601156,-1.686791,-0.806546,-0.304862,-0.198025,-0.076838,0.185604,0.053986,-0.673236,-0.183052,-1.306972,0.162267,0.023618,-1.813802,J
1.554317,-1.010872,0.313592,-0.999962,-0.140616,1.201341,1.056397,0.83105,-0.815662,-0.05763,0.829198,0.994333,0.034232,-0.76322,1.28126,-0.07063,F
0.025901,-0.169737,-0.058463,-0.120719,-0.364104,1.239033,-1.718483,0.694513,0.211406,-0.043222,0.397372,0.822528,0.901968,0.01447,-0.533401,0.877654,D
1.116197,-0.506752,-0.487393,-1.033643,-0.647649,-0.318724,0.500711,-0.399916,-1.527796,-0.457728,-0.253023,-0.397559,0.308889,-0.341611,-0.036682,0.410249,S
-2.099801,-1.233488,-0.401582,-2.168907,-0.606716,-0.464753,0.639764,-0.722419,-1.087738,0.53387,0.662189,0.409863,-0.320021,1.092265,-0.07486,0.836731,T
-0.257132,1.229676,0.050337,-0.030945,0.459021,1.191899,-0.355154,0.385402,1.208298,-0.274344,0.56324,1.029078,0.091079,-0.473513,-1.331008,-0.284881,O
0.58905,0.422411,-1.095508,-0.972275,0.270694,-0.680007,-0.04588,-0.473636,0.486203,0.122585,-0.127066,0.364024,1.631746,-0.264903,-1.528729,-0.729503,Z
1.000959,-0.66191,-2.003432,1.125741,-0.484128,0.45325,1.14905,0.155749,-0.464906,0.038564,1.157313,0.906715,0.679036,-0.714785,-2.445915,0.341158,B
0.023014,0.110243,-0.58542,-1.126283,0.98602,0.536906,0.217858,1.052517,-0.885645,-0.331202,0.556646,-0.248953,0.646914,-0.110187,1.071815,-0.690492,F
-0.038607,0.233232,1.237883,-0.609035,-0.861614,-0.347394,-1.715948,2.351267,2.269111,-0.994132,-0.712555,-1.26882,-0.663288,-1.618064,0.435509,1.218578,M
1.326698,4.208133,2.143724,-0.868548,1.328045,0.375301,0.69057,-0.965326,0.718602,0.968163,1.201029,1.420431,-0.30286,0.971286,0.273758,-0.232738,T
-2.314,-0.742796,-0.610974,0.303993,-0.593478,-0.791308,1.017398,-0.859581,1.203953,0.044667,1.511815,0.233656,-0.149613,1.183303,0.512005,-0.1257,O
0.676566,-0.156233,0.400845,1.461659,0.332769,-1.508578,0.450589,-0.746983,0.29378,-0.316701,-0.020542,0.139668,-0.216787,-0.825834,-0.046102,-0.959523,K
1.651927,-0.921942,-0.325402,-1.17755,-0.203932,-1.054309,0.669357,-0.311269,-0.825478,0.210008,0.293458,-0.317079,0.135131,-1.233805,-0.80052,-0.721371,Z
0.484725,-0.759973,1.025979,-1.697503,0.447139,0.458343,0.952304,0.687577,-1.274609,-0.280529,0.713112,0.819356,0.884793,0.803616,1.003104,-0.282155,T
0.646654,-0.214308,3.483356,1.04994,-0.735202,0.041914,0.071198,0.180719,0.36878,0.662168,0.921778,-1.336956,0.760424,-0.658704,-0.948257,0.33591,W
1.382354,-0.295401,-2.162347,1.075453,-0.873812,-0.648456,-0.771642,-0.009688,0.902677,1.677485,0.352449,-1.068021,-0.495157,0.969735,2.620963,0.803291,A
0.74651,1.55312,-0.741198,1.757104,-0.31665,0.459807,1.277056,0.118347,-0.155143,-0.761124,-0.398071,-0.590756,-0.010222,0.896282,0.643378,-0.552982,Q
-4.727223,0.74351,-3.052462,0.436701,-1.646621,0.957545,2.222094,3.010134,-3.919369,1.895868,0.421274,-2.571004,-1.904151,0.178453,-0.279158,-1.02711,Z
0.037927,1.789893,-0.605893,-0.002752,-1.096382,0.294292,1.491778,2.314816,-1.593572,0.593589,0.062557,-1.515839,0.053826,1.248165,0.19888,0.197915,H
0.779577,-1.354133,0.266107,0.822311,-1.074447,-1.436089,0.161364,1.612722,0.765287,0.321005,-0.840914,-0.980712,1.22067,0.083729,0.173526,1.583658,R
-0.256167,-0.316243,0.576691,0.059151,-0.432363,0.57824,0.061911,-1.360336,1.578911,1.261191,0.024023,0.784464,0.09462,0.929458,-0.349951,-2.519511,I
1.148376,1.046455,-0.129493,0.101437,0.085997,0.29042,0.102084,0.151682,0.867178,-0.635548,-0.189542,1.17506,-0.748575,-1.364938,0.85124,-0.441974,R
0.103852,0.296584,2.770762,0.486269,0.086884,-0.991857,-0.84426,-0.615257,0.345204,0.111803,0.329525,-0.409234,0.222456,1.060587,-0.802324,0.720629,U
-0.402311,-0.778585,-0.749927,0.226841,2.473493,2.338539,-1.635293,-0.520264,1.010321,-0.593074,-1.114273,-0.077514,0.869758,0.681672,-1.257341,-0.202195,U
-2.03322,-0.342631,-0.555195,-0.370213,1.316953,-0.917612,1.264306,-1.699893,0.247294,-0.856831,-0.658547,1.124582,-1.218978,0.492173,-0.290563,0.118359,C
-0.247322,0.463578,-0.068941,0.135919,-0.06853,0.74148,-0.855146,-0.249017,-0.079741,-0.415323,0.033686,0.444761,-0.237343,0.925582,-0.615455,0.591085,O
-1.934579,-0.168078,-1.292227,-0.301309,0.379629,-1.002784,1.692841,-1.11432,0.469792,0.407319,-0.377475,1.599128,-0.670244,1.070039,-1.056761,0.342523,E
0.019928,0.17691,0.022513,-1.797616,-1.180361,0.311924,-0.869651,-0.149569,0.260395,-0.506521,0.565938,0.324863,-0.585588,-0.941911,-0.51682,0.642673,D
-0.132303,-1.184963,0.273486,-0.298128,1.103476,-0.933988,-0.662272,0.425697,-0.616582,0.287732,0.018779,0.238762,-0.328966,0.938344,0.508802,0.56377,U
0.782822,0.463686,-0.21784,-1.069399,-0.89313,0.467186,-0.055148,-0.100917,-0.072302,-1.281464,-0.395961,0.390657,-0.324207,-0.804927,1.279145,0.034463,R
0.694965,0.231507,-0.311083,0.37985,0.216297,-0.758954,0.351875,-0.870894,0.074144,-0.769167,-0.12998,0.188871,0.43106,-0.718311,-0.536641,-0.794412,E
-1.2362,-0.360382,-0.187061,0.581983,0.668008,0.045377,0.258207,-0.509864,-1.024399,0.239004,-1.241841,0.197696,-0.774203,-0.279747,-0.910633,0.19508,G
-0.108687,0.688057,0.90145,-0.161043,-1.31322,0.618068,-0.085542,-1.342162,0.306087,-1.258152,-2.116167,0.454282,0.049572,-1.998694,0.414202,0.588884,B
2.115069,0.631299,0.486831,1.383246,-2.989945,0.360973,0.982963,-0.103033,-0.405281,0.985452,1.947995,0.033953,-2.31337,1.609024,1.304423,2.010412,A
1.328358,0.396183,0.819457,0.036418,1.163146,-0.111851,0.672168,-0.393519,-1.042474,0.352234,-0.553399,-1.130498,1.318652,-0.504013,0.555313,-0.900693,Y
0.536922,1.958089,1.171727,0.631006,-0.793214,-0.388309,0.749094,1.607262,-1.109364,0.830512,-0.408391,-0.856547,0.476006,2.146651,-0.251199,-0.791916,Y
-0.39637,0.062295,-0.115339,0.507826,-0.599385,1.16045,-1.198986,0.182556,0.118587,-0.258326,-0.541446,0.684021,-0.250052,1.028908,-0.748261,0.483462,O
-1.348584,-1.273636,0.200966,0.375523,0.045779,-0.189316,0.052318,-0.917546,-1.365913,-1.256829,-3.03159,0.287163,-0.026815,0.781982,-0.555524,1.036059,G
-0.043438,1.205842,-1.583786,0.511583,-1.375963,0.2815,-1.16785,0.232001,1.014342,1.976843,0.403333,-0.730103,-0.77504,-0.196463,2.061027,0.7625,A
0.794535,-1.337379,0.048276,-0.441343,1.201057,-0.496712,0.982014,0.204104,-1.365004,-0.415106,-0.941509,0.039678,-0.583864,0.425498,-0.06681,-0.009783,C
-0.042359,0.103503,-1.194567,0.536507,-1.340654,0.327571,0.909392,3.181285,-1.239516,0.836381,-0.108899,-1.504351,0.52203,0.883016,0.646334,0.135253,H
0.073867,-1.206381,0.766126,0.492469,-1.559269,-1.198577,0.707257,1.829108,1.207495,1.230468,-0.273585,-0.965565,1.261427,-0.045688,-1.626335,0.017803,R
0.672023,0.373135,-1.242039,-0.888568,0.498977,0.283455,-0.811819,0.559048,0.594113,0.548576,0.116034,-0.476034,0.108316,0.411305,0.109005,0.78919,J
0.324956,-0.216461,-0.048453,0.287268,1.490831,1.455083,-0.988988,0.400304,1.876981,-1.309875,2.192384,-0.494662,-1.194967,0.335379,-1.30601,0.137967,M
0.8763,1.727336,1.79676,0.803597,0.462972,0.913132,0.588618,-0.486224,0.268187,1.986052,0.128388,-0.280502,0.17829,0.544774,-0.429028,0.066694,V
1.25321,1.235452,-0.163249,-0.482618,-0.206847,-0.024891,0.221104,-0.455555,0.532966,-1.112962,0.436537,0.80312,-0.537508,-1.241838,1.127905,-0.32562,R
0.970338,0.709627,2.493326,0.154572,0.468483,0.588135,0.373385,-0.779522,-0.599919,0.355293,-0.366062,0.191537,1.30521,0.865668,-1.090037,0.249558,T
-0.615819,2.317748,-0.667844,0.65486,-0.355301,-0.144399,0.769124,1.336491,-0.641983,0.204328,0.89568,-0.392237,-0.130815,-2.17297,-1.101118,0.002871,J
1.270518,-0.569648,-0.265918,-1.182991,-0.398547,-0.347025,0.3236,-0.713282,-0.912126,-0.735114,-0.638628,-0.070167,0.47254,-0.139289,0.269813,0.596418,S
-0.897396,1.229639,1.468277,1.388699,-0.727421,0.226604,-0.394887,0.686594,1.421454,-0.398169,-0.860018,-0.522474,-0.341685,-0.938215,-0.772586,0.455211,G
0.387039,-0.461711,-0.000577,-1.095488,-0.592807,0.386554,-0.428098,-0.786841,0.242226,-1.478481,-0.647346,-0.020806,0.612641,-0.60277,0.570545,-1.067456,D
-0.034448,0.685353,-1.201538,0.630483,0.276004,-0.616064,0.400638,-0.757988,-0.167071,-1.797568,-0.414645,-0.624977,0.250866,0.19445,0.611534,-1.376716,G
-1.068064,2.196425,-1.847942,-0.37949,-1.601245,1.02766,-1.18285,1.792774,-0.825811,0.864698,0.446586,-0.541539,-0.723348,-1.344403,0.01419,-0.283094,Z
-1.139829,-1.094406,-0.29601,-0.194902,0.381753,0.050793,-1.678183,-0.883288,-0.596055,-0.746878,1.146995,1.78119,0.993478,-0.267323,-1.523673,0.37956,D
1.729964,-0.144599,-1.202887,1.098613,-0.983531,-0.343625,-0.97866,-0.194717,1.026483,1.354722,0.191537,-0.427578,-0.464552,0.598638,2.452665,-0.407472,A
-0.020186,3.024907,1.13116,-0.815744,1.79554,-0.075933,0.740509,-0.58125,1.1752,-0.262479,-0.016839,0.94989,0.015765,0.642428,1.782094,-2.270083,T
1.366223,-0.202651,-0.537167,0.775252,0.35696,-0.440918,0.990484,-1.145692,0.374694,-1.366601,-0.554638,0.005361,0.505298,0.312637,0.189615,-0.002566,G
1.191781,-0.831724,-0.186181,0.35667,-0.723734,-1.608104,-0.166856,-1.625274,0.345534,0.137116,-0.722152,0.235776,-0.457732,-0.302161,1.39763,-1.091991,L
-0.463024,-0.899541,-1.444328,-0.784854,-0.01406,-0.433729,-1.577787,2.711451,1.41398,0.428754,0.239125,-1.561245,0.142178,1.183057,-0.278844,1.143037,W
0.55123,0.620967,0.2534,-0.23829,-0.106408,-0.516931,-0.444804,-0.397798,0.107922,0.538569,-0.523441,-0.208772,0.610381,-0.389927,0.811715,-2.418606,I
-0.460675,-1.101378,2.517677,1.289486,-0.915725,-1.597559,-0.599992,2.104889,1.036611,-1.904141,0.926495,-0.993561,0.448082,-1.714164,-0.256045,0.667263,M
0.120635,-0.403003,-1.465551,-0.560062,-1.119185,0.78595,1.76723,-2.199653,1.073507,-0.87122,-0.917738,-0.352182,-0.472776,-1.215571,-0.616956,0.105852,Q
0.443322,1.848184,-1.717405,0.049902,0.020777,-1.070249,-0.036133,-0.286686,-0.910464,0.121631,0.351354,-0.298452,1.148447,0.731051,-0.607328,-0.752033,S
-2.167378,-0.393599,-2.188226,0.226727,0.053257,-0.784417,0.81013,-1.84585,0.19603,0.537649,-0.721333,-0.25415,0.207177,-0.319781,-0.143538,1.670493,Q
1.523019,0.866825,-0.201929,0.503957,2.150696,1.893814,0.379091,-1.290543,0.530319,1.408141,0.318336,-2.385283,0.824309,0.343237,-0.100219,0.851281,V
-1.306425,0.809787,-0.038742,1.435921,-0.405927,1.162399,-0.711314,-0.268411,0.56637,-0.76437,-0.876427,2.534009,0.851615,-0.709349,-0.58136,-0.426241,R
-4.196818,0.189125,-2.196737,0.25671,-1.3471,0.96972,1.682888,2.830535,-3.332161,1.81741,1.164191,-1.851986,-1.19439,-0.210102,-1.044481,-2.069699,Z
0.04703,0.018826,-0.638045,1.537168,0.021103,0.203213,1.060713,0.599663,0.411301,0.507065,-0.332253,0.943022,-0.059015,-1.334448,-0.77113,-0.02026,P
-2.097606,-0.885945,2.154646,1.180307,1.26246,-0.154951,0.985763,0.733115,0.42765,-0.1864,-0.321654,0.387581,-0.072228,-0.583664,2.377861,0.595534,W
0.800089,-1.193673,1.182049,-1.528109,-0.692408,0.345004,-0.20894,-1.037879,-1.007417,1.551207,-0.39493,0.415537,-0.786265,-1.65012,-0.581748,-0.250442,I
-0.29669,-0.87379,0.215755,-0.336177,1.9181,0.709652,0.505092,1.269299,0.384741,1.682751,0.182987,2.525728,-0.449443,-0.935912,0.733515,-1.272329,F
-1.797641,1.136477,-0.075425,0.41614,-1.161397,-0.130502,-0.164831,2.49725,-1.137162,0.456857,-0.221187,0.082699,0.669607,-0.393636,-0.894692,-1.003281,F
-0.425372,-0.239716,1.081048,-2.159016,-1.363064,0.818211,-0.979677,-1.148696,-1.144163,0.108937,-0.745698,0.456101,-1.727508,-0.261591,-0.067767,-0.617956,J
-0.780555,-0.552747,1.042533,0.632772,1.45049,1.17989,1.169287,-0.185658,-0.589204,1.145871,1.27099,0.497545,-0.090452,-1.028705,0.101124,-0.33047,V
-0.35388,-0.354269,0.440887,-0.032531,-0.522296,-1.698469,-0.048072,2.03525,1.271667,-1.215729,-0.581304,0.172843,0.865595,0.593641,-0.478928,1.201986,M
-0.957858,1.075473,2.945393,0.29461,-0.936827,-0.644417,0.815299,-0.864539,-0.065564,-1.788449,0.676059,-1.574789,0.386848,4.615917,-0.926662,2.926307,M
-0.825059,-0.956995,-0.138651,-0.598698,-0.157306,0.462663,-0.337119,1.086169,0.634029,0.048525,-0.599268,0.55843,-0.567262,1.015848,-0.467451,-0.824637,O
1.70836,-0.606687,0.701625,-1.751028,-0.073555,0.270071,0.421767,0.03109,0.584809,-0.765423,-0.942815,0.720791,-1.309704,-0.620978,0.992271,-0.717824,J
0.828212,-1.055099,-0.742796,0.949857,0.924805,-2.791045,-0.020671,-0.178424,-1.164284,1.366065,-0.518946,0.852189,-0.887506,0.614117,-1.830294,0.043966,E
0.125614,0.586251,-0.726819,-0.379226,0.19624,0.012095,-1.056396,-0.619088,2.435535,-0.183847,2.015901,-0.997106,-3.068674,-1.892041,1.447945,1.178927,M
-0.87643,0.052891,0.020305,-0.034556,2.262478,-0.984558,0.257645,0.091039,0.876984,0.711909,-0.596681,0.665669,-1.215944,0.404244,0.756984,2.73118,K
0.28616,-0.132916,-0.138191,-0.469221,0.284356,1.826742,-0.561402,0.754685,0.182648,0.20551,-1.270329,2.003107,2.151841,-0.427148,1.135923,1.287043,P
